        2            Mesh Dimension
       1679   Number of Points
       3218   Number of Cells
       4897    Number of Faces
           3        Number of Regions
    Number of Edges Belong to each Boundary Curves ==== Boundary Condition
       100           2    Airfoil
         40           3    Far
         4757      1    Interior
 ==== ME        NE        P1          P2 ====
  2         279           0         140         139
  2         584           0         139         138
  2         369           0         138         137
  2         269           0         137         136
  2         267           0         136         135
  2         263           0         135         134
  2         259           0         134         133
  2         255           0         133         132
  2         253           0         132         131
  2         373           0         131         130
  2         375           0         130         129
  2         378           0         129         128
  2         379           0         128         127
  2         381           0         127         126
  2         383           0         126         125
  2         385           0         125         124
  2         387           0         124         123
  2         389           0         123         122
  2         391           0         122         121
  2         393           0         121         120
  2         395           0         120         119
  2         397           0         119         118
  2         399           0         118         117
  2         401           0         117         116
  2         219           0         116         115
  2         323           0         115         114
  2         215           0         114         113
  2         213           0         113         112
  2         209           0         112         111
  2         415           0         111         110
  2         417           0         110         109
  2         419           0         109         108
  2         422           0         108         107
  2         423           0         107         106
  2         202           0         106         105
  2         198           0         105         104
  2         196           0         104         103
  2         433           0         103         102
  2         435           0         102         101
  2         437           0         101         100
  2         188           0         100          99
  2         184           0          99          98
  2         445           0          98          97
  2         447           0          97          96
  2          43           0          96          95
  2         454           0          95          94
  2         456           0          94          93
  2         178           0          93          92
  2         174           0          92          91
  2         170           0          91          90
  2         295           0          90          89
  2         161           0          89          88
  2         291           0          88          87
  2         158           0          87          86
  2         472           0          86          85
  2         150           0          85          84
  2         287           0          84          83
  2         475           0          83          82
  2         477           0          82          81
  2         140           0          81          80
  2         138           0          80          79
  2         285           0          79          78
  2         483           0          78          77
  2         485           0          77          76
  2         126           0          76          75
  2         124           0          75          74
  2         122           0          74          73
  2         120           0          73          72
  2         493           0          72          71
  2         495           0          71          70
  2         110           0          70          69
  2         108           0          69          68
  2         106           0          68          67
  2         104           0          67          66
  2         503           0          66          65
  2         505           0          65          64
  2          96           0          64          63
  2          94           0          63          62
  2          92           0          62          61
  2         511           0          61          60
  2          86           0          60          59
  2          41           0          59          58
  2         517           0          58          57
  2           3           0          57          56
  2         523           0          56          55
  2         525           0          55          54
  2          35           0          54          53
  2         531           0          53          52
  2          33           0          52          51
  2         537           0          51          50
  2         540           0          50          49
  2          29           0          49          48
  2         546           0          48          47
  2          27           0          47          46
  2         552           0          46          45
  2         554           0          45          44
  2         364           0          44          43
  2         363           0          43          42
  2           1           0          42          41
  2         368           0          41         140
  2         322           0          28          29
  2         324           0          29          30
  2         326           0          30          31
  2         328           0          31          32
  2         329           0          32          33
  2         331           0          33          34
  2         333           0          34          35
  2         335           0          35          36
  2         337           0          36          37
  2         339           0          37          38
  2         341           0          38          39
  2         343           0          39          40
  2         345           0          40           1
  2         347           0           1           2
  2         349           0           2           3
  2         351           0           3           4
  2          15           0           4           5
  2         357           0           5           6
  2         359           0           6           7
  2         284           0           7           8
  2         283           0           8           9
  2         112           0           9          10
  2         286           0          10          11
  2         288           0          11          12
  2         290           0          12          13
  2         292           0          13          14
  2         293           0          14          15
  2         296           0          15          16
  2         297           0          16          17
  2         299           0          17          18
  2         301           0          18          19
  2         303           0          19          20
  2         305           0          20          21
  2         307           0          21          22
  2         309           0          22          23
  2         311           0          23          24
  2         313           0          24          25
  2         316           0          25          26
  2         317           0          26          27
  2         320           0          27          28
  2          51        2914        1664        1617
  2          51          52        1616        1664
  2          52         254        1616        1441
  2          52        2650        1441        1664
  2          53        2518        1620        1663
  2          53          56        1663        1662
  2          53          59        1662        1620
  2          54        3055        1603        1663
  2          54        2518        1663        1628
  2          54        3201        1628        1603
  2          55         793         155         154
  2          55         307         154          22
  2          55         309          22         155
  2          56        3210        1663        1661
  2          56        3212        1661        1662
  2          57          59        1489        1662
  2          57         236        1662        1619
  2          57         242        1619        1489
  2          58        3212        1660        1661
  2          58          60        1661        1605
  2          58          66        1605        1660
  2          59        2977        1489        1620
  2          60        3210        1661        1604
  2          60        2880        1604        1605
  2          61         376         186         185
  2          61         269         185         136
  2          61         267         136         186
  2          62         240        1618        1660
  2          62        3053        1660        1659
  2          62          64        1659        1618
  2          63         668         226         334
  2          63         665         334         225
  2          63         450         225         226
  2          64         250        1659        1658
  2          64          70        1658        1618
  2          65         633         212         211
  2          65         415         211         110
  2          65         417         110         212
  2          66        3060        1605        1606
  2          66        3053        1606        1660
  2          67         823         170         169
  2          67         337         169          37
  2          67         339          37         170
  2          68          70        1617        1658
  2          68          72        1658        1677
  2          69         620         205         313
  2          69         617         313         204
  2          69         221         204         205
  2          70         244        1617        1618
  2          71         814         165         164
  2          71         328         164          32
  2          71         329          32         165
  2          72         250        1658        1657
  2          73         815         166         165
  2          73         329         165          33
  2          73         331          33         166
  2          74        3053        1659        1606
  2          74        2764        1606        1607
  2          74        3216        1607        1659
  2          75         818         167         166
  2          75         331         166          34
  2          75         333          34         167
  2          76        3057        1655        1656
  2          76        3217        1656        1654
  2          76         252        1654        1655
  2          77         819         168         167
  2          77         333         167          35
  2          77         335          35         168
  2          78        3057        1677        1655
  2          78          80        1655        1616
  2          79         821         169         168
  2          79         335         168          36
  2          79         337          36         169
  2          80         252        1655        1615
  2          80        2911        1615        1616
  2          81        3216        1657        1607
  2          81        2884        1607        1608
  2          81        3061        1608        1657
  2          82         276        1654        1653
  2          82          87        1653        1615
  2          82         252        1615        1654
  2          83         755         174         173
  2          83         345         173           1
  2          83         347           1         174
  2          84        3061        1656        1608
  2          84        3066        1608        1609
  2          84        3217        1609        1656
  2          85         256        1652        1653
  2          85          91        1653        1611
  2          85         268        1611        1652
  2          86         513          59         262
  2          86          88         262          60
  2           4        3191        1635        1679
  2          87         256        1653        1493
  2          87        2985        1493        1615
  2          88         736         262         261
  2          88         511         261          60
  2          89         282        1652        1612
  2          89        3117        1612        1493
  2          89         256        1493        1652
  2          90         734         261         260
  2          90          92         260          61
  2          90         511          61         261
  2          91         276        1653        1610
  2          91         272        1610        1611
  2          92         509         260          62
  2           4        3043        1679        1668
  2          93         282        1612        1651
  2          93          99        1651        1613
  2          93        3063        1613        1612
  2          94         509          62         259
  2          94         507         259          63
  2           4        3192        1668        1635
  2          95         268        1652        1558
